Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
5/1/2021,ID-AC,Aceh,124,2,118,4,11169,441,9727,1001,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,23.63,2128.54,0.38,84.04,8.40,3.95%,87.09%,1.59,2.00
5/1/2021,ID-BA,Bali,142,10,165,-33,44813,1346,42135,1332,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,33.68,10628.84,2.37,319.25,31.92,3.00%,94.02%,1.04,1.67
5/1/2021,ID-BT,Banten,53,0,28,25,47396,1210,44202,1984,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,4.94,4420.29,0.00,112.85,11.28,2.55%,93.26%,0.74,0.00
5/1/2021,ID-BE,Bengkulu,102,0,40,62,6884,172,5885,827,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,51.01,3442.79,0.00,86.02,8.60,2.50%,85.49%,2.37,1.00
5/1/2021,ID-JK,DKI Jakarta,926,15,793,118,409540,6681,395727,7132,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,85.38,37759.04,1.38,615.98,61.60,1.63%,96.63%,1.17,3.75
5/1/2021,ID-YO,Daerah Istimewa Yogyakarta,128,4,330,-206,39644,960,34735,3949,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,35.25,10918.16,1.10,264.39,26.44,2.42%,87.62%,0.49,4.00
5/1/2021,ID-GO,Gorontalo,6,4,49,-47,5400,165,5082,153,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,5.08,4573.75,3.39,139.75,13.98,3.06%,94.11%,0.75,
5/1/2021,IDN,Indonesia,4512,131,4344,37,1672880,45652,1526978,100250,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,17.01,6308.34,0.49,172.15,17.22,2.73%,91.28%,0.82,0.70
5/1/2021,ID-JA,Jambi,60,3,50,7,7730,114,6215,1401,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,17.18,2212.77,0.86,32.63,3.26,1.47%,80.40%,0.81,
5/1/2021,ID-JB,Jawa Barat,782,6,590,186,283457,3770,248349,31338,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,17.32,6276.54,0.13,83.48,8.35,1.33%,87.61%,0.70,0.23
